Network of 28-10-90 with 546 segments - SE corner region
  2350.  2350.  20.	box dimensions in microns						
  47    47    1		"number of tissue points in x,y,z directions"					
  100			outer bound distance (100. in test case)				
  50				max. segment length.  (5. in test case)			
  8				"nodsegm, max. allowed number of segments per node"			
  445				total number of segments 			
name	type	from	to	diam		flow		HD	
189	1811	1792	10
190	1862	1841	10
191	1859	1918	10
192	233	1388	10
193	178	1070	10
194	642	263	10
195	753	274	10
196	846	316	10
197	881	348	10
198	907	398	10
199	886	469	10
200	424	528	10
201	485	586	10
202	537	622	10
203	589	681	10
204	322	540	10
205	371	596	10
206	412	671	10
207	458	747	10
208	173	462	10
209	1609	1007	10
210	1557	923	10
211	1480	847	10
212	1285	242	10
213	1330	290	10
214	1394	339	10
215	1451	400	10
216	1494	436	10
217	1548	462	10
218	1573	455	10
219	1594	435	10
220	1612	392	10
221	1609	293	10
222	1359	537	10
223	1400	617	10
224	1047	342	10
225	1074	392	10
226	1242	1294	10
227	1173	1235	10
228	1082	1144	10
229	1043	1091	10
230	1003	1038	10
231	984	957	10
232	1421	1011	10
233	1368	956	10
234	1959	1637	10
235	2039	1609	10
236	419	890	10
237	382	816	10
238	327	753	10
239	273	692	10
240	252	700	10
241	1616	1865	10
242	1648	1889	10
243	1778	1894	10
244	2075	787	10
245	1040	940	10
246	1006	934	10
247	466	513	10
248	531	543	10
249	595	588	10
250	659	633	10
251	273	584	10
252	308	644	10
253	380	734	10
254	1670	1136	10
255	1702	1160	10
256	1517	2210	10
257	1508	2340	10
258	2234	1735	10
259	2245	1792	10
260	2204	1860	10
261	2188	1982	10
262	2160	2038	10
263	2153	2149	10
264	2101	2178	10
265	2035	2158	10
266	2004	2179	10
267	1999	2232	10
268	1969	2258	10
269	1900	2235	10
270	1801	2287	10
271	1707	2219	10
272	1626	2234	10
273	1563	2202	10
274	1532	2180	10
275	2208	1542	10
276	2192	1559	10
277	2178	1596	10
278	2181	1639	10
279	2127	1557	10
280	2028	1273	10
281	2075	1294	10
282	2114	1411	10
283	2183	1490	10
284	2160	1738	10
285	1921	1083	10
286	1948	1130	10
287	1967	1228	10
288	2059	829	10
289	2037	848	10
290	1972	874	10
291	1930	866	10
292	1915	885	10
293	1935	952	10
294	1927	994	10
295	1896	1031	10
296	2038	697	10
297	1696	343	10
298	1751	410	10
299	1774	453	10
300	1797	471	10
301	1869	506	10
302	1903	528	10
303	1929	565	10
304	1941	604	10
305	1961	646	10
306	1994	680	10
307	1507	229	10
308	1563	268	10
309	1311	5	10
310	1351	58	10
311	1390	111	10
312	1431	177	10
313	1313	182	10
314	1365	217	10
315	1435	222	10
316	1503	782	10
317	1591	778	10
318	1661	807	10
319	1714	852	10
320	1767	896	10
321	1816	972	10
322	1864	1050	10
323	1458	695	10
324	1233	581	10
325	1339	607	10
326	1210	524	10
327	1175	415	10
328	1028	512	10
329	1080	551	10
330	1155	565	10
331	823	87	10
332	924	149	10
333	965	228	10
334	977	302	10
335	985	375	10
336	1007	444	10
337	937	491	10
338	678	431	10
339	726	431	10
340	817	467	10
341	465	328	10
342	574	369	10
343	633	397	10
344	707	521	10
345	671	472	10
346	719	630	10
347	628	682	10
348	642	658	10
349	607	682	10
350	539	752	10
351	557	712	10
352	496	759	10
353	741	890	10
354	671	871	10
355	580	818	10
356	913	942	10
357	875	955	10
358	807	937	10
359	721	831	10
360	672	776	10
361	623	720	10
362	1406	863	10
363	1449	868	10
364	1884	1273	10
365	1958	1289	10
366	1777	1150	10
367	1820	1172	10
368	1850	1205	10
369	1686	1258	10
370	1695	1212	10
371	1640	1249	10
372	1752	1281	10
373	1817	1307	10
374	1476	2187	10
375	1498	2200	10
376	1524	2086	10
377	1879	1988	10
378	1873	2066	10
379	1845	2105	10
380	1760	2096	10
381	1659	2061	10
382	446	1695	10
383	465	1797	10
384	483	1900	10
385	502	2002	10
386	546	2068	10
387	597	2094	10
388	721	2128	10
389	842	2162	10
390	967	2197	10
391	1076	2261	10
392	1148	2240	10
393	1202	2182	10
394	1294	2179	10
395	1382	2175	10
396	493	1664	10
397	294	1489	10
398	355	1568	10
399	402	1632	10
400	272	1452	10
401	243	1324	10
402	180	1116	10
403	205	1189	10
404	176	1008	10
405	151	872	10
406	161	895	10
407	210	828	10
408	37	706	10
409	47	761	10
410	121	825	10		
411	1491	816	10		
412	2065	737	10		
9	total	number	of	boundary	nodes
node	bctyp	press/flow	HD	PO2	
1	2	-30	0.4	92	1. 1
95	2	-15	0.4	75	1. 1
194	2	-2	0.4	50	1. 1
208	2	5	0.4	75	1. 1
257	1	15	0.4	72	1. 1
309	2	-35	0.4	50	1. 1
331	2	-3	0.4	50	1. 1
341	2	-4	0.4	50	1. 1
408	2	-157	0.4	50	1. 1
